epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
68,36.8158,0.56984,0.74022,1.02371,0.94148,0.38817,0.42516,0.30591,1.79168,2.40509,1.55123,2.68451e-05,2.68451e-05,2.68451e-05
69,37.3262,0.82469,0.92795,1.32183,0.94218,0.3881,0.42295,0.30256,1.79545,2.43868,1.55432,2.64447e-05,2.64447e-05,2.64447e-05
70,37.8067,0.83332,1.10932,1.25906,0.94218,0.3881,0.42295,0.30256,1.79545,2.43868,1.55432,2.60207e-05,2.60207e-05,2.60207e-05
71,38.2829,0.59991,0.71196,1.11747,0.94218,0.3881,0.42295,0.30256,1.79545,2.43868,1.55432,2.55731e-05,2.55731e-05,2.55731e-05
72,38.7729,0.6262,0.85568,1.17056,0.94407,0.3889,0.42616,0.30224,1.77871,2.47091,1.54091,2.5102e-05,2.5102e-05,2.5102e-05
73,39.2573,0.59189,0.6446,1.11411,0.94407,0.3889,0.42616,0.30224,1.77871,2.47091,1.54091,2.46073e-05,2.46073e-05,2.46073e-05
74,39.7383,1.02015,1.57554,1.52151,0.94407,0.3889,0.42616,0.30224,1.77871,2.47091,1.54091,2.40891e-05,2.40891e-05,2.40891e-05
75,40.2283,0.86526,0.85423,1.16291,0.94407,0.38866,0.42489,0.30109,1.78759,2.4916,1.54851,2.35472e-05,2.35472e-05,2.35472e-05
76,40.7064,0.84459,1.02569,1.25241,0.94407,0.38866,0.42489,0.30109,1.78759,2.4916,1.54851,2.29819e-05,2.29819e-05,2.29819e-05
77,41.179,0.65989,0.65127,1.09092,0.94407,0.38866,0.42489,0.30109,1.78759,2.4916,1.54851,2.23929e-05,2.23929e-05,2.23929e-05
78,41.6772,0.60789,0.89539,1.10719,0.94373,0.3879,0.42425,0.30271,1.79084,2.48326,1.55288,2.17805e-05,2.17805e-05,2.17805e-05
