epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
74,39.1703,1.02015,1.57554,1.52151,0.5,0.38333,0.44,0.32654,1.77871,2.47091,1.54091,2.40891e-05,2.40891e-05,2.40891e-05
75,39.6692,0.86526,0.85423,1.16291,0.5,0.38333,0.44,0.32654,1.78759,2.4916,1.54851,2.35472e-05,2.35472e-05,2.35472e-05
76,40.14,0.84459,1.02569,1.25241,0.5,0.38333,0.44,0.32654,1.78759,2.4916,1.54851,2.29819e-05,2.29819e-05,2.29819e-05
77,40.6103,0.65989,0.65127,1.09092,0.5,0.38333,0.44,0.32654,1.78759,2.4916,1.54851,2.23929e-05,2.23929e-05,2.23929e-05
78,41.1021,0.60789,0.89539,1.10719,0.5,0.36667,0.43167,0.32629,1.79084,2.48326,1.55288,2.17805e-05,2.17805e-05,2.17805e-05
79,41.5877,0.742,1.19699,1.28526,0.5,0.36667,0.43167,0.32629,1.79084,2.48326,1.55288,2.11444e-05,2.11444e-05,2.11444e-05
80,42.0599,0.57325,0.6899,1.09103,0.5,0.36667,0.43167,0.32629,1.79084,2.48326,1.55288,2.04848e-05,2.04848e-05,2.04848e-05
81,42.5504,0.70012,0.72963,1.1079,0.5,0.36667,0.43167,0.32167,1.80101,2.50341,1.54528,1.98016e-05,1.98016e-05,1.98016e-05
82,43.0258,0.38662,0.42792,0.91048,0.5,0.36667,0.43167,0.32167,1.80101,2.50341,1.54528,1.90949e-05,1.90949e-05,1.90949e-05
83,43.4961,0.6724,0.64791,1.05942,0.5,0.36667,0.43167,0.32167,1.80101,2.50341,1.54528,1.83646e-05,1.83646e-05,1.83646e-05
84,43.987,0.87932,1.39722,1.30551,0.5,0.36667,0.43167,0.30508,1.79898,2.47713,1.51574,1.76107e-05,1.76107e-05,1.76107e-05
85,44.4678,0.59611,0.77253,1.14413,0.5,0.36667,0.43167,0.30508,1.79898,2.47713,1.51574,1.68333e-05,1.68333e-05,1.68333e-05
86,44.943,0.66258,0.814,1.18124,0.5,0.36667,0.43167,0.30508,1.79898,2.47713,1.51574,1.60323e-05,1.60323e-05,1.60323e-05
87,45.4155,0.51228,0.59861,1.0374,0.5,0.36667,0.43167,0.30508,1.79898,2.47713,1.51574,1.52077e-05,1.52077e-05,1.52077e-05
88,45.9008,0.60228,0.95242,1.06667,0.33333,0.18333,0.2575,0.22229,1.82746,2.46938,1.56683,1.43596e-05,1.43596e-05,1.43596e-05
89,46.3779,0.66791,0.59742,1.14111,0.33333,0.18333,0.2575,0.22229,1.82746,2.46938,1.56683,1.34879e-05,1.34879e-05,1.34879e-05
90,46.8529,0.84351,0.67268,1.09546,0.33333,0.18333,0.2575,0.22229,1.82746,2.46938,1.56683,1.25927e-05,1.25927e-05,1.25927e-05
91,48.7689,0.60733,0.54331,1.08925,0.33333,0.18333,0.2575,0.22229,1.82746,2.46938,1.56683,1.16739e-05,1.16739e-05,1.16739e-05
92,49.3189,0.40621,0.48054,0.87886,0.33333,0.18333,0.2575,0.22229,1.8212,2.44352,1.53937,1.07315e-05,1.07315e-05,1.07315e-05
93,49.8165,0.39908,0.47593,0.93122,0.33333,0.18333,0.2575,0.22229,1.8212,2.44352,1.53937,9.76562e-06,9.76562e-06,9.76562e-06
94,50.291,0.59329,0.53583,1.07791,0.33333,0.18333,0.2575,0.22229,1.8212,2.44352,1.53937,8.77613e-06,8.77613e-06,8.77613e-06
95,50.766,0.59623,0.58658,1.05694,0.33333,0.18333,0.2575,0.22229,1.8212,2.44352,1.53937,7.76308e-06,7.76308e-06,7.76308e-06
96,51.2595,0.63784,0.68381,1.21195,0.33333,0.18333,0.2575,0.22229,1.87637,2.54557,1.61942,6.72648e-06,6.72648e-06,6.72648e-06
97,51.7373,0.62991,0.56465,0.9513,0.33333,0.18333,0.2575,0.22229,1.87637,2.54557,1.61942,5.6663e-06,5.6663e-06,5.6663e-06
98,52.2076,0.51545,0.50708,1.00129,0.33333,0.18333,0.2575,0.22229,1.87637,2.54557,1.61942,4.58257e-06,4.58257e-06,4.58257e-06
99,52.68,0.51943,0.50047,1.04711,0.33333,0.18333,0.2575,0.22229,1.87637,2.54557,1.61942,3.47528e-06,3.47528e-06,3.47528e-06
100,53.1822,0.47145,0.46486,0.9743,0.33333,0.18333,0.2575,0.22229,1.86381,2.51323,1.57866,2.34442e-06,2.34442e-06,2.34442e-06
